    149 | 2017:03:09 - 20:49:00.1325 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    150 | 2017:03:09 - 20:49:00.1355 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    151 | 2017:03:09 - 20:49:00.1375 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    152 | 2017:03:09 - 20:49:00.1405 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    153 | 2017:03:09 - 20:49:00.1425 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    154 | 2017:03:09 - 20:49:00.1455 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    155 | 2017:03:09 - 20:49:00.1475 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    156 | 2017:03:09 - 20:49:00.1495 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    157 | 2017:03:09 - 20:49:00.1515 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    158 | 2017:03:09 - 20:49:00.1545 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    159 | 2017:03:09 - 20:49:00.1565 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    160 | 2017:03:09 - 20:49:00.1585 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    161 | 2017:03:09 - 20:49:00.1615 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    162 | 2017:03:09 - 20:49:00.1635 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    163 | 2017:03:09 - 20:49:00.1655 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    164 | 2017:03:09 - 20:49:00.1685 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    165 | 2017:03:09 - 20:49:00.1705 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    166 | 2017:03:09 - 20:49:00.1725 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    167 | 2017:03:09 - 20:49:00.1755 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    168 | 2017:03:09 - 20:49:00.1775 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    169 | 2017:03:09 - 20:49:00.1795 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4006 |                            208.85.44.21 |                                     443 |     54
    170 | 2017:03:09 - 20:49:00.1825 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
    171 | 2017:03:09 - 20:49:00.1845 |   IPv4 |    TCP | Secure TCP |                            208.85.44.21 |                                     443 |                            192.168.1.20 |                                    4006 |   1484
